Date, Close/Last, Volume, Open, High, Low
8/29/13,$166.06 ,9435470,$164.22 ,$167.75 ,$162.51 
8/28/13,$166.45 ,14713320,$169.06 ,$171.50 ,$163.25 
8/27/13,$167.01 ,17515670,$162.30 ,$168.80 ,$160.95 
8/26/13,$164.22 ,24071200,$165.15 ,$173 ,$160.25 
8/23/13,$161.84 ,12913320,$157 ,$162.30 ,$155 
8/22/13,$157.10 ,10544220,$149.22 ,$157.48 ,$148.14 
8/21/13,$147.86 ,6249798,$150 ,$150.31 ,$146.25 
8/20/13,$149.58 ,6387825,$148.65 ,$149.78 ,$147 
8/19/13,$144.90 ,8021902,$143.43 ,$147.38 ,$142.83 
8/16/13,$142 ,7093792,$141.63 ,$143.91 ,$140.97 
8/15/13,$139.67 ,10179070,$136.43 ,$143.60 ,$135 
8/14/13,$139.36 ,11680010,$142.72 ,$144.84 ,$138.05 
8/13/13,$145.43 ,8724841,$149.50 ,$149.84 ,$144.45 
8/12/13,$147.38 ,14885790,$149.43 ,$150.50 ,$142.05 
8/9/13,$153 ,8926196,$152.40 ,$155.95 ,$151.25 
8/8/13,$153.48 ,27233590,$154.36 ,$158.88 ,$150.46 
8/7/13,$134.23 ,17818600,$141.89 ,$141.95 ,$132.36 
8/6/13,$142.15 ,9252258,$144.75 ,$145.73 ,$141.10 
8/5/13,$144.68 ,10170820,$140.01 ,$144.89 ,$139.65 
8/2/13,$138 ,6221159,$134.59 ,$138.25 ,$133.61 
8/1/13,$135.55 ,5307491,$135 ,$136.52 ,$132.63 
7/31/13,$134.28 ,6338258,$132.57 ,$134.98 ,$131.45 
7/30/13,$131.74 ,13119920,$134.80 ,$137.49 ,$128.18 
7/29/13,$134.62 ,9678085,$129.32 ,$135.37 ,$128.25 
7/26/13,$129.39 ,9627227,$128.14 ,$130.68 ,$126.61 
7/25/13,$124.07 ,5283874,$120.40 ,$124.75 ,$120.19 
7/24/13,$121.70 ,6866543,$124.47 ,$124.50 ,$119.56 
7/23/13,$122.74 ,7735416,$124 ,$125.56 ,$121.82 
7/22/13,$122.43 ,9797193,$119.89 ,$126.68 ,$119.88 
7/19/13,$119.68 ,5883963,$118.50 ,$120.55 ,$116.51 
7/18/13,$119.03 ,11364370,$120.97 ,$122.73 ,$116.18 
7/17/13,$120.25 ,25994150,$106.52 ,$121.62 ,$104.50 
7/16/13,$109.05 ,32325350,$126.28 ,$126.32 ,$107.30 
7/15/13,$127.26 ,9914409,$133.03 ,$133.26 ,$126.82 
7/12/13,$129.90 ,11341990,$125.50 ,$129.94 ,$124.51 
7/11/13,$125.61 ,7480691,$124.88 ,$126.09 ,$122.35 
7/10/13,$122.27 ,5692372,$123.19 ,$123.25 ,$120.79 
7/9/13,$123.45 ,8567075,$124.64 ,$125.32 ,$121.91 
7/8/13,$121.61 ,7804363,$121.37 ,$122.18 ,$118.82 
7/5/13,$120.09 ,6815232,$118.32 ,$120.28 ,$115.70 
7/3/13,$115.24 ,4806662,$118 ,$119.25 ,$114.27 
7/2/13,$117.82 ,12061590,$118.26 ,$121.89 ,$115.50 
7/1/13,$117.18 ,10882830,$109.36 ,$117.77 ,$109.15 
6/28/13,$107.36 ,5747803,$108.57 ,$109.44 ,$106.71 
6/27/13,$109.25 ,8738707,$106.75 ,$110.25 ,$106.13 
6/26/13,$105.72 ,6592090,$103.80 ,$105.87 ,$102.66 
6/25/13,$102.40 ,5845857,$103.10 ,$104.20 ,$100.55 
6/24/13,$101.49 ,7115222,$96.50 ,$102.87 ,$95.30 
6/21/13,$99.55 ,11702490,$103.70 ,$103.70 ,$97.50 
6/20/13,$100.65 ,10103660,$104.65 ,$107.13 ,$99.45 
6/19/13,$104.68 ,8578292,$102.06 ,$106.67 ,$102.01 
6/18/13,$103.39 ,8793233,$101.75 ,$103.98 ,$99.20 
6/17/13,$102.20 ,7063642,$103.60 ,$104.75 ,$101.20 
6/14/13,$100.30 ,6561448,$100 ,$102.52 ,$99.33 
6/13/13,$98.18 ,5961343,$99 ,$99.28 ,$95.12 
6/12/13,$97.73 ,9184497,$96.80 ,$100.48 ,$95.75 
6/11/13,$94.47 ,7391870,$98.18 ,$98.68 ,$94.05 
6/10/13,$100.05 ,9207140,$98.93 ,$102.52 ,$98.57 
6/7/13,$102.04 ,10706180,$98 ,$102.90 ,$96.70 
6/6/13,$97.35 ,9509080,$95.25 ,$99.27 ,$95.11 
6/5/13,$95.37 ,12209560,$93.66 ,$97.97 ,$89.11 
6/4/13,$94.84 ,8837894,$92.75 ,$96.42 ,$92.40 
6/3/13,$92.59 ,19134000,$97.62 ,$97.62 ,$88.25 
5/31/13,$97.76 ,15145370,$106.26 ,$106.44 ,$97.73 
5/30/13,$104.95 ,16129720,$102.46 ,$109.54 ,$101.20 
5/29/13,$104.63 ,25061470,$113.55 ,$114.90 ,$99 
5/28/13,$110.33 ,19596090,$101.55 ,$110.75 ,$100.30 
5/24/13,$97.08 ,16077980,$92.60 ,$97.95 ,$92 
5/23/13,$92.73 ,12015700,$84.81 ,$93.01 ,$83.05 
5/22/13,$87.24 ,8564386,$86.37 ,$90.96 ,$85.50 
5/21/13,$87.59 ,8996046,$88.50 ,$89.99 ,$85.28 
5/20/13,$89.94 ,8326361,$91.12 ,$92.50 ,$88.63 
5/17/13,$91.50 ,18986880,$92.50 ,$94.44 ,$87.50 
5/16/13,$92.25 ,21577970,$94.70 ,$95 ,$88.66 
5/15/13,$84.84 ,16642860,$81.80 ,$86.88 ,$78.11 
5/14/13,$83.24 ,37103240,$94.22 ,$97.12 ,$81.15 
5/13/13,$87.80 ,22343570,$80.99 ,$88 ,$79.15 
5/10/13,$76.76 ,25072050,$69.65 ,$81 ,$69.25 
5/9/13,$69.40 ,28551660,$70.12 ,$75.77 ,$63.69 
5/8/13,$55.79 ,5838969,$57.50 ,$58.20 ,$55.71 
5/7/13,$55.51 ,9985041,$62 ,$62.37 ,$55.12 
5/6/13,$59.50 ,4365030,$56.39 ,$59.66 ,$55.50 
5/3/13,$54.55 ,3378303,$56.47 ,$56.47 ,$54.50 
5/2/13,$54.11 ,3045669,$53.85 ,$55.27 ,$53.70 
5/1/13,$53.28 ,2742593,$55.99 ,$55.99 ,$53 
